Reason,Pesticides
"Clonex, Root Pac, Big Time Exterminator, Super Thrive",indolbutyric acid (IBA)
Avermectin,Avermectin
Imidacloprid,Imidacloprid
Etoxazole and Imidacloprid,Imidacloprid
Etoxazole and Imidacloprid,Etoxazole
"Myclobutanil, Avermectin, and Imidacloprid",Myclobutanil
"Myclobutanil, Avermectin, and Imidacloprid",Avermectin
"Myclobutanil, Avermectin, and Imidacloprid",Imidacloprid
Myclobutanil and Avermectin Bla,Avermectin
Myclobutanil and Avermectin Bla,Myclobutanil
"Myclobutanil and Spinosyn A,",Myclobutanil
"Myclobutanil and Spinosyn A,",Spinosyn A
Myclobutanil and Etoxazole,Myclobutanil
Myclobutanil and Etoxazole,Etoxazole
"Mycobutanil, Spiromefesin and Imidacloprid",Myclobutanil
"Mycobutanil, Spiromefesin and Imidacloprid",Spiromefesin
"Mycobutanil, Spiromefesin and Imidacloprid",Imidacloprid
Spiromefesin,Spiromefesin
"Mycobutanil, Spiromefesin and Avermectin",Myclobutanil
"Mycobutanil, Spiromefesin and Avermectin",Spiromefesin
"Mycobutanil, Spiromefesin and Avermectin",Avermectin
"Imidacloprid, Mycobutanil and Avermectin",Imidacloprid
"Imidacloprid, Mycobutanil and Avermectin",Myclobutanil
"Imidacloprid, Mycobutanil and Avermectin",Avermectin
Pesticides,Unspecified
Pesticide Contamination (Myclobutanil),Myclobutanil
Piperonyl butoxide (Pesticide),Piperonyl butoxide
Myclobutinyl pesticide,Myclobutanil
Pesticide Contamination,Unspecified
pesticide Imidacloprid,Imidacloprid
pesticide residues,Unspecified
"Unapproved pesticide, Ethephon.",Ethephon
Pesticide,Unspecified
Myclobutanil,Myclobutanil
"failed testing for the Category I pesticide, chlorfenapyr ",chlorfenapyr
Pesticides: Spiromesifen,Spiromefesin
presence of the pesticide chlorfenapyr,chlorfenapyr
Adulterated: Pesticide Category I Contamination (Chlorfenapyr),chlorfenapyr
Adulterated: Pesticide Category I Contamination (Paclobutrazol),paclobutrazal
Adulterated and Misbranded: Pesticide Category I Contamination (Chlorfenapyr); Inaccurate Labeling (Cannabinoid inflation),chlorfenapyr
Potentially Adulterated: Pesticide Category I Contamination,Unspecified highly hazardous 
Potentially Adulterated: Pesticide Category II Contamination,Unspecified moderate hazards
Potentially Adulterated: Pesticide Category I Contamination and/or Pesticide Category II Contamination,Unspecified highly hazardous 
Adulterated: Pesticide Category I Contamination (Daminozide),Daminozide
Multiple: Pesticides / Aspergillus,Thiabendazole
Chlorfenapyr,Chlorfenapyr
Chlorfenapyr.,Chlorfenapyr
"Bifenazate, Fluopyram, and Myclobutanil.",Bifenazate
"Bifenazate, Fluopyram, and Myclobutanil.",Fluopyram
"Bifenazate, Fluopyram, and Myclobutanil.",Myclobutanil
Chlorfenapyr and Fluopyram.,Chlorfenapyr
Chlorfenapyr and Fluopyram.,Fluopyram.
chlorfenapyr and paclobutrazol.,chlorfenapyr
chlorfenapyr and paclobutrazol.,paclobutrazol
myclobutanil.,myclobutanil
"hexythiazox, fluopyram, bifenazate",hexythiazox
"hexythiazox, fluopyram, bifenazate",fluopyram
"hexythiazox, fluopyram, bifenazate",bifenazate
Bifenthrin and other pesticides,Bifenthrin
Bifenthrin and other pesticides,Cypermethrin
Bifenthrin and other pesticides,Permethrin
Bifenthrin and other pesticides,Cypermethrin
Bifenthrin and other pesticides,Spiromesifen
Bifenthrin and other pesticides,Pyridaben
Bifenthrin and other pesticides,Chlorfenapyr
Bifenthrin and other pesticides,Malathion
Bifenthrin and other pesticides,Pyridaben
Conserve SC,Spinosad
Eagle 20,Myclobutanil
pesticide Spinosyn,Spinosyn
"Unspecified Pesticides, Product not from Approved Producer",Unspecified Pesticides
spiromesifen and permethrin,spiromesifen
spiromesifen and permethrin,permethrin
Failed Pesticide Testing,Unspecified Pesticides
pesticides above action level,Unspecified Pesticides
O-phenylphenol ,O-phenylphenol 
High Level of concern for pesticides/residual solvents. ,Unspecified Pesticides
Dichlenobil,Dichlenobil
"Diphenylamine (DPA),O-phenylphenol (OPP),",Diphenylamine (DPA)
"Diphenylamine (DPA),O-phenylphenol (OPP),",O-phenylphenol (OPP)
Pesticides,Unspecified Pesticides
Spinosad,Spinosad
